,LGA,POP,latitude,longitude
0,Alimosho,11456783,6.58434295,3.257631097
1,Ajeromi-Ifelodun,2000346,6.4551217,3.335946252
2,Kosofe,665421,6.581974,3.414835942
3,Mushin,633543,6.5273,3.3414
4,Oshodi-Isolo,10621789,6.54001,3.312414613
5,Ojo,598336,6.4579,3.158
6,Ikorodu,535811,6.6191233,3.5041271
7,Surulere,504409,6.48720145,3.353258727
8,Agege,461123,6.6252564,3.311209268
9,Ifako-Ijaiye,428812,6.6636025,3.289491
10,Somolu,402992,6.5393027,3.3790892
11,Amuwo-Odofin,318576,6.4470234,3.266279712
12,Lagos Mainland,317980,6.49306105,3.388249637
13,Ikeja,313333,6.6048591,3.353204074
14,Eti-Osa,287958,6.4602312,3.532180668
15,Badagry,241437,6.4387296,2.907485749
16,Apapa,217661,6.445187,3.368373168
17,Lagos Island,209665,6.5148613,3.490866161
18,Epe,181715,6.52474955,4.057245795
19,Ibeju-Lekki,117542,6.4711251,3.814750201
